사고유형대분류,사고유형중분류,사고유형,발생월,사고건수,사망자수,중상자수,경상자수,부상신고자수
차대사람,횡단중,횡단중,01,1017,33,491,507,38
차대사람,횡단중,횡단중,02,945,27,457,486,37
차대사람,횡단중,횡단중,03,1060,36,503,532,39
차대사람,횡단중,횡단중,04,1117,31,524,610,28
차대사람,횡단중,횡단중,05,1091,39,514,573,41
차대사람,횡단중,횡단중,06,1000,23,476,510,38
차대사람,횡단중,횡단중,07,944,35,427,519,37
차대사람,횡단중,횡단중,08,951,35,465,476,35
차대사람,횡단중,횡단중,09,1042,39,466,569,27
차대사람,횡단중,횡단중,10,1163,61,552,606,34
차대사람,횡단중,횡단중,11,1267,41,622,623,58
차대사람,횡단중,횡단중,12,1170,45,502,653,46
차대사람,차도통행중,차도통행중,01,249,10,103,134,12
차대사람,차도통행중,차도통행중,02,256,10,93,152,12
차대사람,차도통행중,차도통행중,03,305,11,125,171,12
차대사람,차도통행중,차도통행중,04,320,7,118,197,9
차대사람,차도통행중,차도통행중,05,290,9,98,180,15
차대사람,차도통행중,차도통행중,06,306,13,117,172,13
차대사람,차도통행중,차도통행중,07,294,7,110,167,19
차대사람,차도통행중,차도통행중,08,261,11,105,144,15
차대사람,차도통행중,차도통행중,09,310,12,133,162,17
차대사람,차도통행중,차도통행중,10,364,16,145,205,17
차대사람,차도통행중,차도통행중,11,357,24,156,170,23
차대사람,차도통행중,차도통행중,12,316,16,135,153,19
차대사람,길가장자리구역통행중,길가장자리구역통행중,01,171,5,44,119,9
차대사람,길가장자리구역통행중,길가장자리구역통행중,02,149,0,41,101,11
차대사람,길가장자리구역통행중,길가장자리구역통행중,03,176,1,42,131,8
차대사람,길가장자리구역통행중,길가장자리구역통행중,04,179,3,53,113,13
차대사람,길가장자리구역통행중,길가장자리구역통행중,05,154,4,40,112,10
차대사람,길가장자리구역통행중,길가장자리구역통행중,06,166,4,48,112,7
차대사람,길가장자리구역통행중,길가장자리구역통행중,07,171,4,52,112,12
차대사람,길가장자리구역통행중,길가장자리구역통행중,08,131,1,33,98,4
차대사람,길가장자리구역통행중,길가장자리구역통행중,09,147,0,46,97,10
차대사람,길가장자리구역통행중,길가장자리구역통행중,10,171,5,44,118,11
차대사람,길가장자리구역통행중,길가장자리구역통행중,11,197,4,60,129,14
차대사람,길가장자리구역통행중,길가장자리구역통행중,12,161,2,60,88,12
차대사람,보도통행중,보도통행중,01,140,4,46,91,4
차대사람,보도통행중,보도통행중,02,126,1,43,79,9
차대사람,보도통행중,보도통행중,03,189,3,56,126,14
차대사람,보도통행중,보도통행중,04,201,2,70,130,11
차대사람,보도통행중,보도통행중,05,217,2,80,134,16
차대사람,보도통행중,보도통행중,06,200,1,65,136,9
차대사람,보도통행중,보도통행중,07,177,0,57,122,9
차대사람,보도통행중,보도통행중,08,168,1,50,116,11
차대사람,보도통행중,보도통행중,09,191,2,64,123,12
차대사람,보도통행중,보도통행중,10,216,2,65,145,13
차대사람,보도통행중,보도통행중,11,222,2,80,142,16
차대사람,보도통행중,보도통행중,12,179,1,69,111,7
차대사람,기타,기타,01,980,26,315,617,75
차대사람,기타,기타,02,969,16,338,609,51
차대사람,기타,기타,03,1241,26,404,773,98
차대사람,기타,기타,04,1318,22,449,816,85
차대사람,기타,기타,05,1266,28,404,816,72
차대사람,기타,기타,06,1259,16,386,816,99
차대사람,기타,기타,07,1232,37,428,729,99
차대사람,기타,기타,08,1081,22,375,672,67
차대사람,기타,기타,09,1294,36,440,798,97
차대사람,기타,기타,10,1341,27,444,841,108
차대사람,기타,기타,11,1410,39,485,850,108
차대사람,기타,기타,12,1284,38,419,802,103
차대차,정면충돌,정면충돌,01,603,14,272,642,33
차대차,정면충돌,정면충돌,02,532,16,248,608,41
차대차,정면충돌,정면충돌,03,643,15,277,710,42
차대차,정면충돌,정면충돌,04,679,19,307,730,59
차대차,정면충돌,정면충돌,05,640,12,284,733,68
차대차,정면충돌,정면충돌,06,674,25,331,724,60
차대차,정면충돌,정면충돌,07,775,9,373,869,62
차대차,정면충돌,정면충돌,08,660,17,265,786,44
차대차,정면충돌,정면충돌,09,665,7,332,737,39
차대차,정면충돌,정면충돌,10,698,21,280,793,60
차대차,정면충돌,정면충돌,11,689,26,313,778,42
차대차,정면충돌,정면충돌,12,634,24,257,727,38
차대차,측면충돌,측면충돌,01,5161,23,1284,6222,386
차대차,측면충돌,측면충돌,02,5277,30,1276,6378,441
차대차,측면충돌,측면충돌,03,5911,25,1450,6992,460
차대차,측면충돌,측면충돌,04,6334,26,1646,7429,477
차대차,측면충돌,측면충돌,05,6105,40,1481,7333,499
차대차,측면충돌,측면충돌,06,6371,28,1671,7417,518
차대차,측면충돌,측면충돌,07,6563,47,1623,7764,503
차대차,측면충돌,측면충돌,08,5798,36,1448,6860,488
차대차,측면충돌,측면충돌,09,5985,36,1532,6944,489
차대차,측면충돌,측면충돌,10,6253,40,1576,7339,503
차대차,측면충돌,측면충돌,11,6238,40,1488,7385,539
차대차,측면충돌,측면충돌,12,5691,33,1281,6604,478
차대차,후진중충돌,후진중충돌,01,229,0,18,267,17
차대차,후진중충돌,후진중충돌,02,231,0,20,270,10
차대차,후진중충돌,후진중충돌,03,298,0,22,349,12
차대차,후진중충돌,후진중충돌,04,274,0,20,326,16
차대차,후진중충돌,후진중충돌,05,326,0,22,375,17
차대차,후진중충돌,후진중충돌,06,308,0,41,364,20
차대차,후진중충돌,후진중충돌,07,319,0,19,366,20
차대차,후진중충돌,후진중충돌,08,312,1,29,387,9
차대차,후진중충돌,후진중충돌,09,330,0,38,394,10
차대차,후진중충돌,후진중충돌,10,334,0,33,412,11
차대차,후진중충돌,후진중충돌,11,271,1,19,319,8
차대차,후진중충돌,후진중충돌,12,282,0,23,343,12
차대차,추돌,추돌,01,2675,28,550,3838,196
차대차,추돌,추돌,02,2441,24,569,3601,175
차대차,추돌,추돌,03,2671,33,675,3817,214
차대차,추돌,추돌,04,2701,24,669,3982,218
차대차,추돌,추돌,05,2716,27,650,3938,220
차대차,추돌,추돌,06,2611,28,621,3761,195
차대차,추돌,추돌,07,2766,36,626,3938,212
차대차,추돌,추돌,08,2617,33,621,3750,240
차대차,추돌,추돌,09,2769,33,633,4010,252
차대차,추돌,추돌,10,3008,47,686,4382,252
차대차,추돌,추돌,11,2876,36,681,4039,296
차대차,추돌,추돌,12,2866,30,583,4055,278
차대차,기타,기타,01,3145,15,717,3415,269
차대차,기타,기타,02,3006,14,705,3336,266
차대차,기타,기타,03,3466,14,799,4048,335
차대차,기타,기타,04,3627,14,853,4139,313
차대차,기타,기타,05,3840,26,904,4332,348
차대차,기타,기타,06,3909,19,949,4387,342
차대차,기타,기타,07,4025,18,930,4487,340
차대차,기타,기타,08,3731,24,833,4247,321
차대차,기타,기타,09,3696,26,810,4038,316
차대차,기타,기타,10,4108,24,915,4680,337
차대차,기타,기타,11,3914,26,826,4374,317
차대차,기타,기타,12,3755,28,749,4133,335
차량단독,전도,전도,01,68,2,19,25,24
차량단독,전도,전도,02,72,11,23,31,13
차량단독,전도,전도,03,78,6,26,37,16
차량단독,전도,전도,04,79,7,36,34,17
차량단독,전도,전도,05,90,7,41,32,19
차량단독,전도,전도,06,99,8,41,51,16
차량단독,전도,전도,07,91,10,57,41,24
차량단독,전도,전도,08,89,9,35,29,20
차량단독,전도,전도,09,85,6,30,43,18
차량단독,전도,전도,10,74,9,32,22,14
차량단독,전도,전도,11,71,4,28,30,14
차량단독,전도,전도,12,60,3,16,28,14
차량단독,전복,전복,01,15,4,5,8,2
차량단독,전복,전복,02,11,10,10,5,0
차량단독,전복,전복,03,11,1,3,5,2
차량단독,전복,전복,04,12,2,4,4,2
차량단독,전복,전복,05,20,5,10,9,1
차량단독,전복,전복,06,20,4,13,6,3
차량단독,전복,전복,07,12,2,8,4,0
차량단독,전복,전복,08,15,2,5,6,4
차량단독,전복,전복,09,13,2,5,8,2
차량단독,전복,전복,10,13,2,10,11,1
차량단독,전복,전복,11,11,0,9,9,4
차량단독,전복,전복,12,12,2,5,6,6
차량단독,공작물충돌,공작물충돌,01,188,20,80,110,29
차량단독,공작물충돌,공작물충돌,02,226,28,118,145,48
차량단독,공작물충돌,공작물충돌,03,227,21,81,121,46
차량단독,공작물충돌,공작물충돌,04,232,32,118,121,48
차량단독,공작물충돌,공작물충돌,05,252,30,114,126,57
차량단독,공작물충돌,공작물충돌,06,256,36,124,145,47
차량단독,공작물충돌,공작물충돌,07,271,20,128,153,56
차량단독,공작물충돌,공작물충돌,08,252,36,121,143,45
차량단독,공작물충돌,공작물충돌,09,173,24,69,88,29
차량단독,공작물충돌,공작물충돌,10,227,38,91,119,48
차량단독,공작물충돌,공작물충돌,11,215,25,118,122,34
차량단독,공작물충돌,공작물충돌,12,223,30,94,111,45
차량단독,주/정차차량 충돌,주/정차차량 충돌,01,1,0,0,1,0
차량단독,주/정차차량 충돌,주/정차차량 충돌,02,3,0,1,1,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,03,4,1,1,1,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,04,2,1,1,0,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,07,1,0,0,0,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,08,2,0,1,0,1
차량단독,주/정차차량 충돌,주/정차차량 충돌,09,3,1,0,2,0
차량단독,주/정차차량 충돌,주/정차차량 충돌,10,4,0,1,3,0
차량단독,주/정차차량 충돌,주/정차차량 충돌,12,3,0,2,0,1
차량단독,도로이탈,도로이탈 추락,01,23,2,21,13,4
차량단독,도로이탈,도로이탈 추락,02,25,4,8,15,0
차량단독,도로이탈,도로이탈 추락,03,25,5,6,13,3
차량단독,도로이탈,도로이탈 추락,04,38,13,20,15,4
차량단독,도로이탈,도로이탈 추락,05,45,6,26,17,6
차량단독,도로이탈,도로이탈 추락,06,39,7,15,21,6
차량단독,도로이탈,도로이탈 추락,07,37,7,18,20,7
차량단독,도로이탈,도로이탈 추락,08,35,7,19,14,3
차량단독,도로이탈,도로이탈 추락,09,34,7,15,19,4
차량단독,도로이탈,도로이탈 추락,10,30,7,18,13,2
차량단독,도로이탈,도로이탈 추락,11,27,4,17,8,3
차량단독,도로이탈,도로이탈 추락,12,27,4,16,11,2
차량단독,도로이탈,도로이탈 기타,01,11,3,4,5,2
차량단독,도로이탈,도로이탈 기타,02,12,1,4,8,1
차량단독,도로이탈,도로이탈 기타,03,12,1,6,6,6
차량단독,도로이탈,도로이탈 기타,04,15,2,8,3,3
차량단독,도로이탈,도로이탈 기타,05,7,0,5,2,2
차량단독,도로이탈,도로이탈 기타,06,21,4,11,10,5
차량단독,도로이탈,도로이탈 기타,07,17,2,6,9,1
차량단독,도로이탈,도로이탈 기타,08,9,0,3,7,5
차량단독,도로이탈,도로이탈 기타,09,11,0,3,5,3
차량단독,도로이탈,도로이탈 기타,10,19,2,9,14,2
차량단독,도로이탈,도로이탈 기타,11,13,2,10,3,1
차량단독,도로이탈,도로이탈 기타,12,9,1,4,7,3
차량단독,기타,기타,01,233,8,79,127,34
차량단독,기타,기타,02,230,11,86,142,37
차량단독,기타,기타,03,283,10,86,190,36
차량단독,기타,기타,04,275,7,87,173,33
차량단독,기타,기타,05,319,20,99,199,51
차량단독,기타,기타,06,336,11,110,205,56
차량단독,기타,기타,07,299,20,99,159,48
차량단독,기타,기타,08,305,12,108,170,48
차량단독,기타,기타,09,264,15,90,147,37
차량단독,기타,기타,10,277,11,98,158,34
차량단독,기타,기타,11,318,11,96,193,47
차량단독,기타,기타,12,262,12,76,167,34
철길건널목,철길건널목,철길건널목,08,1,0,0,1,0
